ID_transaccin,Monto,Orden,Recurrente,Origen,Fecha_de_operacin,Score,Estado,Reembolsos,Contracargos,ID_cliente,Canal_de_pago,Token,Tipo_de_tarjeta,Dispositivo,ID comercio,Fecha_devolucin,Fecha_contracargo,Respuesta_de_banco,Email_score,das_prim_correo,Dominio,Regla_nivel_normal,Regla_nivel_medio,Regla_nivel_alto,Accin
trajsayjn3oy6ash81zk,$50.00,303518,FALSE,API,1/15/20 0:39,38,Aceptada,,,5,,2b77740ab546a8bb308c39886fc0a269570d0152bdfc0efcadf1228389800a26,DEBIT,c5c6445ff3e0a0ca3846c09653a634ac,1,,,Aceptada,50,3550,gmail.com,Aceptada,Aceptada,Aceptada,
tr77kjqxlnu6z6lemi8d,$75.00,303521,FALSE,API,1/15/20 0:59,39,Riesgo de fraude,,,2,,aaa148eab25877e91ee88dfaf345b1d4a3a4d453cbaba3704097d93708c759f7,CREDIT,3b9d41f7ff8a3065cc4254a3284eb6db,1,,,,138,905,gmail.com,Aceptada,Aceptada,Riesgo de fraude,
trkikbmurctefnh7xrgf,$400.00,303516,FALSE,API,1/15/20 0:31,28,Riesgo de fraude,,,10,,207b5aba7428efa106d1ac7710c324e447cbb725857a50e197c118340dba613a,DEBIT,7964f936488177d9883f653f3a0a5558,1,,,,87,2405,yahoo.com.mx,Aceptada,Aceptada,Riesgo de fraude,
tr8xqvmp5oevbkb4qi7z,$100.00,303538,FALSE,API,1/15/20 2:35,41,Aceptada,,,9,,17a6c2c10fd0d1ad60535bc4f4f67bf0d52569f3e1be55bcc854e69648c07342,DEBIT,,1,,,Aceptada,500,34,hotmail.com,,,,
trkltpyra8kqmoeboogo,$100.00,303537,FALSE,API,1/15/20 2:19,31,Aceptada,,,3,,17a6c2c10fd0d1ad60535bc4f4f67bf0d52569f3e1be55bcc854e69648c07342,DEBIT,92b1e357884deaecfe92ade5a214bedc,1,,,Aceptada,500,34,hotmail.com,,,,
truj3watcjs0bur4mp1h,"$2,000.00",303530,FALSE,API,1/15/20 1:36,222,Riesgo de fraude,,,3,,88131de2185e07eeac074fbb65f5b848e2f14d76fc700bcf9901387e68200ab0,DEBIT,763382c854b7e7ccf5a8b528b72d0b43,1,,,,10,1213,gmail.com,Aceptada,Aceptada,Riesgo de fraude,
trfedplf2ue9il8cybvq,$150.00,303533,FALSE,API,1/15/20 1:53,200,Riesgo de fraude,,,8,,6da9625acc1513ee0a71fd892896e156a2aa8b32a63ced8853e54ef37d42f688,DEBIT,,1,,,,903,213,gmail.com,Aceptada,Riesgo de fraude,,
tr9qxkplusbwqcvr3jp3,"$1,000.00",303529,FALSE,API,1/15/20 1:31,54,Riesgo de fraude,,,9,,fa968430d29d268f47e77e8478e7958c626b719319d2f65720fc3642ebbbb319,CREDIT,64b381d7338fc7f85b650fff926b8bd1,1,,,,64,4199,hotmail.com,Aceptada,Aceptada,Riesgo de fraude,
tr3ht1cm8eoz94fibzgv,$500.00,304389,FALSE,API,1/19/20 16:23,267,Riesgo de fraude,,,8,,d5bcfd71e18b34be8505390a755a3e5455a6f3822bc0ced257e1254262dd97b7,CREDIT,763382c854b7e7ccf5a8b528b72d0b43,1,,,,10,1217,gmail.com,Riesgo de fraude,Aceptada,Riesgo de fraude,
trtdgdnt6zaqlpds6coi,$560.00,304446,FALSE,API,1/19/20 22:53,39,Aceptada,,,1,,20421e4184c74b7417053626656a47d6191e89eb26ac55f57537db8067126954,DEBIT,,1,,,Aceptada,207,416,gmail.com,Aceptada,Aceptada,Aceptada,
trjkk6gqmm5z2xumgm48,$80.00,304447,FALSE,API,1/19/20 23:12,68,Riesgo de fraude,,,10,,11d577cd9aeb6aeba736113e436d9ca83acb5dc02a90372fd5eb607b55921655,DEBIT,91a0a4b8ad48dfe53cf70ea106253fc6,1,,,,500,40,hotmail.com,Aceptada,Aceptada,Riesgo de fraude,
trjmo6pcoptr6w3agzuc,$70.00,304448,FALSE,API,1/19/20 23:14,68,Riesgo de fraude,,,9,,11d577cd9aeb6aeba736113e436d9ca83acb5dc02a90372fd5eb607b55921655,DEBIT,91a0a4b8ad48dfe53cf70ea106253fc6,1,,,,500,40,hotmail.com,Aceptada,Aceptada,Riesgo de fraude,
trhnwwbwvtto3rfnzllt,$100.00,304457,FALSE,API,1/20/20 0:07,84,Riesgo de fraude,,,4,,e25e3c831a5103278c912235bcf62074832131528d34643a94def35c634eed3a,DEBIT,,1,,,,489,40,hotmail.com,Aceptada,Aceptada,Riesgo de fraude,
trnxu0giulemobj4wcyp,$100.00,304463,FALSE,API,1/20/20 0:39,84,Riesgo de fraude,,,7,,e25e3c831a5103278c912235bcf62074832131528d34643a94def35c634eed3a,DEBIT,,1,,,,489,40,hotmail.com,Aceptada,Aceptada,Riesgo de fraude,
tr6t9czdjf4wtejwwam4,$50.00,304474,FALSE,API,1/20/20 2:06,68,Aceptada,,,9,,cec5645f33ff7acbff9e9a8563aba1c85179723ad2d893e4740f37624e542525,DEBIT,,1,,,Tarjeta sin fondos,495,16,gmail.com,,,,
trug0aeq8azmqqw2r5r1,$50.00,304485,FALSE,API,1/20/20 2:22,67,Riesgo de fraude,,,8,,261a58b3871d883b1a25d19e0c59c0abd12880a0fb458d05b726750c61c0f671,DEBIT,,1,,,,207,416,gmail.com,Aceptada,Aceptada,Riesgo de fraude,
